ax,ay,az,gx,gy,gz,pressure,temperature,altitude,climbRate,latitudeE7,longitudeE7,gpsAltitude,speed,heading,sats,fix,roll,filterRoll,pitch,yaw,servoDegree,baroTimeMs,gpsTimeMs,aTimeMs,aRxTimeMs,state,timeMs
0.0,6.300237895604378e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.9609375,22.190000534057617,1083378058,1034156941,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4546,0,0,0
0.0,6.370302818820618e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.7874145507812,22.06999969482422,1086398039,1085956083,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4596,0,0,0
0.0,6.440367742036859e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.790771484375,22.06999969482422,1086342626,1083291579,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4646,0,0,0
0.0,6.5104326652531e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6257934570312,21.969999313354492,1089218535,1091702152,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4696,0,0,0
0.0,6.580497588469341e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6257934570312,21.969999313354492,1089218535,1089056576,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4746,0,0,0
0.0,6.650562511685582e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6802978515625,22.0,1088265440,1082181246,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4796,0,0,0
0.0,6.720627434901823e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6802978515625,22.0,1088265440,1078856291,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4846,0,0,0
0.0,6.790692358118064e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.736572265625,22.040000915527344,1087284639,1060400208,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4896,0,0,0
0.0,6.860757281334304e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.783447265625,22.06999969482422,1086470075,-1082300967,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4946,0,0,0
0.0,6.930822204550545e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.783447265625,22.06999969482422,1086470075,-1085622303,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,4996,0,0,0
0.0,7.000887127766786e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6218872070312,22.06999969482422,1089285030,1083673110,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5046,0,0,0
0.0,7.070952050983027e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6218872070312,21.959999084472656,1089285030,1081243274,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5096,0,0,0
0.0,7.141016974199268e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.472412109375,21.959999084472656,1091204229,1090515400,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5146,0,0,0
0.0,7.211081897415509e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.472412109375,21.8700008392334,1091204229,1087160685,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5196,0,0,0
0.0,7.28114682063175e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5392456054688,21.90999984741211,1090622398,1077514098,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5246,0,0,0
0.0,7.35121174384799e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5392456054688,21.90999984741211,1090622398,1075081922,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5296,0,0,0
0.0,7.421276667064231e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6013793945312,21.950000762939453,1089645212,-1101902672,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5346,0,0,0
0.0,7.491341590280472e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6013793945312,21.950000762939453,1089645212,-1104659110,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5396,0,0,0
0.0,7.561406513496713e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6621704101562,21.989999771118164,1088581292,-1073067784,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5446,0,0,0
0.0,7.631471436712954e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.6621704101562,21.989999771118164,1088581292,-1076018803,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5496,0,0,0
0.0,7.701536359929195e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5084228515625,21.889999389648438,1090891148,1080588135,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5547,0,0,0
0.0,7.77300258160976e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5084228515625,21.889999389648438,1090891148,1077541151,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5597,0,0,0
0.0,7.843067504826001e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.3650512695312,21.799999237060547,1092140700,1088613414,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5647,0,0,0
0.0,7.913132428042242e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.3650512695312,21.799999237060547,1092140700,1085639096,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5697,0,0,0
0.0,7.983197351258483e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.4360961914062,21.84000015258789,1091522851,1074503268,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5747,0,0,0
0.0,8.053262274474724e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.4360961914062,21.84000015258789,1091522851,1071604691,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5797,0,0,0
0.0,8.123327197690965e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5068969726562,21.889999389648438,1090905001,-1082789382,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5847,0,0,0
0.0,8.193392120907205e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5068969726562,21.889999389648438,1090905001,-1086013035,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5906,0,0,0
0.0,8.27606873030237e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5726318359375,21.93000030517578,1090143924,-1070375205,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,5956,0,0,0
0.0,8.34613365351861e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.5726318359375,21.93000030517578,1090143924,-1072726250,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6006,0,0,0
0.0,8.416198576734851e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.43505859375,21.84000015258789,1091531163,1077024766,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6056,0,0,0
0.0,8.486263499951092e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.43505859375,21.84000015258789,1091531163,1074690456,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6106,0,0,0
0.0,8.556328423167333e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.2943725585938,21.75,1092758550,1087295816,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6156,0,0,0
0.0,8.626393346383574e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.2943725585938,21.75,1092758550,1084585018,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6206,0,0,0
0.0,8.696458269599815e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.3699951171875,21.799999237060547,1092099141,1070561740,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6256,0,0,0
0.0,8.766523192816056e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.3699951171875,21.799999237060547,1092099141,1067842314,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6306,0,0,0
0.0,8.836588116032296e-42,0.0,0.0,0.0,0.0,0.0,0.0,1014.4447021484375,21.850000381469727,1091445273,-1078297429,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0,0,6356,0,0,0
