imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_climbRate_mps,gps_latE7,gps_lonE7,gps_altitude_m,gps_speed_mps,gps_heading_deg,gps_sats,gps_fix,roll_deg,filterRoll_deg,pitch_deg,yaw_deg,servoDegree_deg,baroTimeMs,gpsTimeMs,aTimeMs,aRxTimeMs,state,timeMs,stateStr
0.0,0.0,0.0,0.0,0.0,0.0,1004.716796875,21.75,0.03635058179497719,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4490,4490,0,0,0,4490,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7118530273438,21.739999771118164,0.07789409905672073,0.008106051944196224,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5515,5515,0,0,0,5515,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7128295898438,21.739999771118164,0.0701046884059906,0.004963472485542297,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6539,6539,0,0,0,6539,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7069702148438,21.739999771118164,0.1168411523103714,0.013072328642010689,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7566,7566,0,0,0,7566,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7067260742188,21.75,0.11943762004375458,0.010964985936880112,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8590,8590,0,0,0,8590,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7076416015625,21.75,0.11164820939302444,0.0072521036490798,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9615,9615,0,0,0,9615,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.71435546875,21.75,0.05712234228849411,-0.004847900476306677,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,10639,10639,0,0,0,10639,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7201538085938,21.760000228881836,0.007789410185068846,-0.013513658195734024,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11663,11663,0,0,0,11663,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7210693359375,21.770000457763672,-0.0051929401233792305,-0.013346541672945023,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,12687,12687,0,0,0,12687,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7276611328125,21.770000457763672,-0.05712234228849411,-0.02081969380378723,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,13711,13711,0,0,0,13711,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.720947265625,21.770000457763672,0.0025964700616896152,-0.005003304220736027,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,14736,14736,0,0,0,14736,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7125244140625,21.770000457763672,0.07270116358995438,0.009689679369330406,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,15760,15760,0,0,0,15760,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.717529296875,21.770000457763672,0.031157640740275383,-0.00036222441121935844,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,16784,16784,0,0,0,16784,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.70849609375,21.770000457763672,0.10385879874229431,0.013854415155947208,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,17812,17812,0,0,0,17812,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7075805664062,21.760000228881836,0.11164820939302444,0.012603417038917542,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,18837,18837,0,0,0,18837,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7008666992188,21.760000228881836,0.16617408394813538,0.020711559802293777,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,19863,19863,0,0,0,19863,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.70263671875,21.770000457763672,0.1531917303800583,0.014036105014383793,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20888,20888,0,0,0,20888,STANDBY
0.0,0.0,0.0,0.0,0.0,0.0,1004.7050170898438,21.780000686645508,0.13241997361183167,0.007175858598202467,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,21913,21913,0,0,0,21913,STANDBY
