imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_climbRate_mps,gps_latE7,gps_lonE7,gps_altitude_m,gps_speed_mps,gps_heading_deg,gps_sats,gps_fix,roll_deg,filterRoll_deg,pitch_deg,yaw_deg,servoDegree_deg,veltotal_cmps,velimu_cmps,baroTimeMs,gpsTimeMs,aTimeMs,aRxTimeMs,state,timeMs,stateStr
-0.949999988079071,0.550000011920929,9.6899995803833,0.0,0.0,0.0,1006.757568359375,24.190000534057617,-0.17136701941490173,0.0,0,0,0.0,0.0,0.0,0,0,0.05496383458375931,0.0,-0.01065095979720354,-0.9444868564605713,-85.0,-86.0,0.0,4527,4527,64714,4527,0,4527,STANDBY
-0.9200000166893005,0.47999998927116394,9.680000305175781,0.0,0.0,0.0,1006.7401733398438,24.18000030517578,-0.08011408150196075,0.0,0,0,0.0,0.0,0.0,0,0,0.05413983762264252,0.0,-0.013367107138037682,-0.9441205859184265,-87.0,-87.0,0.0,4627,4627,69117,4622,0,4627,STANDBY
-0.9200000166893005,0.5299999713897705,9.6899995803833,0.0,0.0,0.0,1006.720703125,24.18000030517578,0.06253432482481003,0.7017040848731995,0,0,0.0,0.0,0.0,0,0,0.05423139035701752,0.0,-0.013245033100247383,-0.9440290331840515,-87.0,-87.0,0.0,4727,4727,69223,4726,0,4727,STANDBY
-0.9200000166893005,0.6100000143051147,9.670000076293945,0.0,0.0,0.0,1006.7570190429688,24.18000030517578,-0.07808992266654968,0.32176703214645386,0,0,0.0,0.0,0.0,0,0,0.05420087277889252,0.0,-0.013336588628590107,-0.9438764452934265,-87.0,-87.0,0.0,4827,4827,69310,4814,0,4827,STANDBY
-0.9599999785423279,0.5299999713897705,9.6899995803833,0.0,0.0,0.0,1006.7440795898438,24.190000534057617,-0.05908338353037834,-0.3482644259929657,0,0,0.0,0.0,0.0,0,0,0.05493331700563431,0.0,-0.011017181910574436,-0.9444868564605713,-87.0,-87.0,0.0,4927,4927,69415,4920,0,4927,STANDBY
-0.9300000071525574,0.5,9.680000305175781,0.0,0.0,0.0,1006.72998046875,24.18000030517578,0.05415472388267517,0.36616262793540955,0,0,0.0,0.0,0.0,0,0,0.055116429924964905,0.0,-0.010559404268860817,-0.9447920322418213,-87.0,-87.0,0.0,5027,5027,69521,5025,0,5027,STANDBY
-0.9399999976158142,0.6000000238418579,9.6899995803833,0.0,0.0,0.0,1006.7313842773438,24.190000534057617,0.050074681639671326,0.4605187177658081,0,0,0.0,0.0,0.0,0,0,0.0556352436542511,0.0,-0.009216589853167534,-0.9453413486480713,-87.0,-87.0,0.0,5078,5127,69609,5113,0,5127,STANDBY
-0.9399999976158142,0.5699999928474426,9.6899995803833,0.0,0.0,0.0,1006.7256469726562,24.190000534057617,0.10203568637371063,0.40896278619766235,0,0,0.0,0.0,0.0,0,0,0.0554826520383358,0.0,-0.009643848985433578,-0.9454023838043213,-87.0,-87.0,0.0,5192,5227,69714,5218,0,5227,STANDBY
-0.9399999976158142,0.5099999904632568,9.6899995803833,0.0,0.0,0.0,1006.6952514648438,24.190000534057617,0.2562204599380493,0.7473981380462646,0,0,0.0,0.0,0.0,0,0,0.05493331700563431,0.0,-0.011200292967259884,-0.9450666904449463,-87.0,-87.0,0.0,5292,5327,69819,5323,0,5327,STANDBY
-0.9399999976158142,0.5799999833106995,9.680000305175781,0.0,0.0,0.0,1006.69775390625,24.190000534057617,0.2882283329963684,0.8321864604949951,0,0,0.0,0.0,0.0,0,0,0.055055391043424606,0.0,-0.01144444104284048,-0.9451582431793213,-87.0,-87.0,0.0,5393,5427,69907,5411,0,5427,STANDBY
