imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_climbRate_mps,gps_latE7,gps_lonE7,gps_altitude_m,gps_speed_mps,gps_heading_deg,gps_sats,gps_fix,roll_deg,filterRoll_deg,pitch_deg,yaw_deg,veltotal_cmps,velimu_cmps,servoDeg1_deg,servoDeg2_deg,baroTimeMs,gpsTimeMs,aTimeMs,aRxTimeMs,state,timeMs,stateStr
0.0,0.0,0.0,0.0,0.0,0.0,1006.2564086914062,23.1200008392334,-0.020771760493516922,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,4382,4382,3250,4382,0,4382,STANDBY
0.27000001072883606,-0.20999999344348907,9.619999885559082,0.0,0.0,0.0,1004.9283447265625,22.309999465942383,7.579784393310547,0.0,0,0,0.0,0.0,0.0,0,0,0.1344340294599533,0.0,0.24301889538764954,-0.5522934794425964,0.0,0.0,100.0,100.0,4482,4482,4961,4475,0,4482,STANDBY
0.5899999737739563,-0.23999999463558197,9.619999885559082,0.0,0.0,0.0,1004.69189453125,22.190000534057617,11.68547534942627,35.118743896484375,0,0,0.0,0.0,0.0,0,0,0.13043610751628876,0.0,0.23261207342147827,-0.5949888825416565,0.0,0.0,100.0,100.0,4582,4582,5059,4575,0,4582,STANDBY
0.5799999833106995,-0.14000000059604645,9.630000114440918,0.0,0.0,0.0,1004.6952514648438,22.190000534057617,12.625195503234863,31.39162826538086,0,0,0.0,0.0,0.0,0,0,0.1263466328382492,0.0,0.221594899892807,-0.6377758383750916,0.0,0.0,100.0,100.0,4682,4682,5158,4673,0,4682,STANDBY
0.6800000071525574,-0.28999999165534973,9.600000381469727,0.0,0.0,0.0,1006.1953125,23.110000610351562,3.6616337299346924,-22.265640258789062,0,0,0.0,0.0,0.0,0,0,0.11774040758609772,0.0,0.20902127027511597,-0.6810815930366516,0.0,0.0,100.0,100.0,4782,4782,5257,4772,0,4782,STANDBY
0.3499999940395355,-0.17000000178813934,9.649999618530273,0.0,0.0,0.0,1006.21435546875,23.139999389648438,1.008313536643982,-51.02476501464844,0,0,0.0,0.0,0.0,0,0,0.1110263392329216,0.0,0.19595934450626373,-0.7222205400466919,0.0,0.0,100.0,100.0,4882,4882,5356,4871,0,4882,STANDBY
0.5199999809265137,-0.20999999344348907,9.630000114440918,0.0,0.0,0.0,1006.2451782226562,23.139999389648438,0.278371125459671,-26.734094619750977,0,0,0.0,0.0,0.0,0,0,0.10177922993898392,0.0,0.1815546154975891,-0.7615588903427124,0.0,0.0,100.0,100.0,4982,4982,5454,4970,0,4982,STANDBY
0.5899999737739563,-0.11999999731779099,9.640000343322754,0.0,0.0,0.0,1006.2427368164062,23.139999389648438,0.1349133849143982,-8.883987426757812,0,0,0.0,0.0,0.0,0,0,0.09100619703531265,0.0,0.16553239524364471,-0.7974791526794434,0.0,0.0,100.0,100.0,5082,5082,5554,5068,0,5082,STANDBY
0.9100000262260437,-0.15000000596046448,9.630000114440918,0.0,0.0,0.0,1006.2528076171875,23.139999389648438,0.008755198679864407,-2.857865810394287,0,0,0.0,0.0,0.0,0,0,0.07773064076900482,0.0,0.14838099479675293,-0.8302255272865295,0.0,0.0,100.0,100.0,5182,5182,5652,5167,0,5182,STANDBY
0.20999999344348907,-0.23000000417232513,9.640000343322754,0.0,0.0,0.0,1006.2528076171875,23.139999389648438,0.01919524185359478,-0.9911336302757263,0,0,0.0,0.0,0.0,0,0,0.06662190705537796,0.0,0.13284707069396973,-0.8586688041687012,0.0,0.0,100.0,100.0,5282,5282,5750,5266,0,5282,STANDBY
