timestamp,latitude,longitude,altitude,q0,q1,q2,q3,roll,temperature,sats,soundBtn,ejectBtn,parachute,connectPin,flightPhase,extra1,ejectDescent,ejectTimer,parachuteEjectReason
1778330730194,37.4013344,126.7781888,0,0.9004712978682836,-0.3463240455336161,-0.07797479171117283,-0.2512588885158849,-3,17,12,False,False,False,True,0,False,False,False,0
1778330731111,37.4013344,126.7781888,0,0.9019067191614352,0.3922238837855159,0.18088320566423535,-0.0024414807580797754,-3,17,12,False,False,False,True,0,False,False,False,0
1778330732107,37.4013344,126.7781888,0,0.8427433255110839,-0.41163365581225014,-0.250221259193701,0.2402722251045259,-3,17,12,False,False,False,True,0,False,False,False,0
1778330733108,37.4013344,126.7781888,0,0.7415270497107198,0.4029969176305429,0.2955412457655568,-0.4476454969939268,-3,17,12,False,False,False,True,0,False,False,False,0
1778330734108,37.4013344,126.7781888,0,0.6113201362009918,-0.369640186773278,-0.3254493850520341,0.6194647053437911,-3,17,12,False,False,False,True,0,False,False,False,0
1778330735108,37.4013344,126.7781888,0,0.4678408986028886,0.3197729422894986,0.34461500900296027,-0.7484054078798792,-3,17,12,False,False,False,True,0,False,False,False,0
1778330736109,37.4013344,126.7781888,0,0.3192251379583829,-0.260536515396588,-0.3566393017365032,0.8384655293435469,-3,17,12,False,False,False,True,0,False,False,False,0
1778330737108,37.4013344,126.7781888,0,0.1242456872660702,0.17587817011017182,0.36265144810327465,-0.9067049165318766,-3,17,12,False,False,False,True,0,False,False,False,0
1778330738109,37.4013344,126.7781888,0,0.009777694175524744,-0.11450544755394147,-0.3603320413830988,0.9257179479354228,-3,17,12,False,False,False,True,0,False,False,False,0
1778330739108,37.4013344,126.7781888,0,0.1329517980661892,0.05746635334330271,0.3518784142582476,-0.924771874141667,-3,17,12,False,False,False,True,0,False,False,False,0
1778330740109,37.4013344,126.7781888,0,0.23778989741586903,-0.008087405011139257,-0.33896908474990084,0.9102145451216163,-3,17,12,False,False,False,True,0,False,False,False,0
1778330741109,37.4013344,126.7781888,0,0.3234673663668481,-0.03250221259193701,0.32355723746452225,-0.8886074404126102,-3,18,12,False,False,False,True,0,False,False,False,0
1778330742108,37.4013344,126.7781888,0,0.39322481387052877,0.06595049897762993,-0.3067415387432478,0.8642536698507645,-3,18,12,False,False,False,True,0,False,False,False,0
1778330743109,37.4013344,126.7781888,0,0.44788342632919365,-0.09164708395641957,0.2903225806451613,-0.8406628620258186,-3,18,12,False,False,False,True,0,False,False,False,0
1778330744108,37.4013344,126.7781888,0,0.488483419243322,0.11111789300210578,-0.2763756218146306,0.8201544236579486,-3,18,12,False,False,False,True,0,False,False,False,0
1778330745109,37.4013344,126.7781888,0,0.5165627787419977,-0.12402722251045259,0.2653584398937956,-0.80458998382519,-3,18,12,False,False,False,True,0,False,False,False,0
1778330746108,37.4013344,126.7781888,0,0.5291382192570466,0.12988677632984405,-0.26020081179235205,0.7971434675130467,-3,18,12,False,False,False,True,0,False,False,False,0
1778330747110,37.4013344,126.7781888,0,0.5312273411091295,-0.1315958128604999,0.25919370097964417,-0.7958006530961028,-3,18,12,False,False,False,True,0,False,False,False,0
1778330748109,37.4013344,126.7781888,0,0.5180648728348053,0.12427137058626057,-0.26453444013794364,0.8038575395977661,-3,18,12,False,False,False,True,0,False,False,False,0
1778330749109,37.4013344,126.7781888,0,0.49414365582999525,-0.11325418866542558,0.2738425855281228,-0.8173162022766808,-3,18,12,False,False,False,True,0,False,False,False,0
1778330750109,37.4013344,126.7781888,0,0.4571005786418296,0.0957060457167272,-0.2870571001312296,0.836359752189703,-3,18,12,False,False,False,True,0,False,False,False,0
1778330751110,37.4013344,126.7781888,0,0.4069698141819106,-0.07181005279702139,0.3024689474166082,-0.858912930692465,-3,17,12,False,False,False,True,0,False,False,False,0
1778330752110,37.4013344,126.7781888,0,0.33955166295130246,0.03991821039460433,-0.3196813867610706,0.8836939603869747,-3,18,12,False,False,False,True,0,False,False,False,0
1778330753110,37.4013344,126.7781888,0,0.2554257311720996,-9.155552842799158e-05,0.33628345591601305,-0.9064607684560686,-3,18,12,False,False,False,True,0,False,False,False,0
1778330754111,37.4013344,126.7781888,0,0.1530649506917027,-0.048097170934171575,-0.35047456282235173,0.9227271340067751,-3,18,12,False,False,False,True,0,False,False,False,0
1778330755109,37.4013344,126.7781888,0,0.036662422863248695,0.10193182164983063,0.36017944883571884,-0.9265724662007507,-3,17,12,False,False,False,True,0,False,False,False,0
1778330756110,37.4013344,126.7781888,0,0.16037926225265647,0.2074037903988769,0.35511337626270334,-0.8973052156132695,-12,17,12,False,False,False,True,1,False,False,False,0
1778330757110,37.4013344,126.7781888,10,0.26321799368046356,-0.16873683889278848,0.47569200720236826,-0.8221686452833643,9,17,12,False,False,False,True,1,False,False,False,0
1778330758109,37.4013344,126.7781888,26,0.09275863867710295,0.09369182409131138,0.4470656453138829,-0.8847315897091586,-22,17,12,False,False,False,True,1,False,False,False,0
1778330759110,37.4013344,126.7781888,45,0.4748835537836409,-0.13385418256172368,0.4704733420819727,-0.7315897091586047,5,17,12,False,False,False,True,1,False,False,False,0
1778330760110,37.4013344,126.7781888,58,0.7629383064419564,-0.39512314218573563,0.33060701315347757,-0.3905148472548601,-100,17,12,False,False,False,True,3,False,False,False,0
1778330761111,37.4013344,126.7781888,65,0.30798749948585685,-0.16992706076235237,-0.5007171849726859,0.7909176915799432,24,17,12,False,False,False,True,3,False,False,False,0
